IID	Ethnicity
HG02646	1000g_AFR
HG02648	1000g_SAS
HG02649	1000g_SAS
HG02651	1000g_SAS
HG02652	1000g_SAS
HG02654	1000g_SAS
HG02655	1000g_SAS
HG02657	1000g_SAS
HG02658	1000g_SAS
HG02660	1000g_SAS
HG02661	1000g_SAS
HG02666	1000g_AFR
HG02667	1000g_AFR
HG02675	1000g_AFR
HG02676	1000g_AFR
HG02678	1000g_AFR
HG02679	1000g_AFR
HG02681	1000g_SAS
HG02682	1000g_SAS
HG02684	1000g_SAS
HG02685	1000g_SAS
HG02687	1000g_SAS
HG02688	1000g_SAS
HG02690	1000g_SAS
HG02691	1000g_SAS
HG02694	1000g_SAS
HG02696	1000g_SAS
HG02697	1000g_SAS
HG02699	1000g_SAS
HG02700	1000g_SAS
HG02702	1000g_AFR
HG02703	1000g_AFR
HG02715	1000g_AFR
HG02716	1000g_AFR
HG02721	1000g_AFR
HG02722	1000g_AFR
HG02724	1000g_SAS
HG02725	1000g_SAS
HG02727	1000g_SAS
HG02728	1000g_SAS
HG02731	1000g_SAS
HG02733	1000g_SAS
HG02734	1000g_SAS
HG02736	1000g_SAS
HG02737	1000g_SAS
HG02756	1000g_AFR
HG02757	1000g_AFR
HG02759	1000g_AFR
HG02760	1000g_AFR
HG02763	1000g_AFR
HG02768	1000g_AFR
HG02769	1000g_AFR
